Country Name,Year,Value (USD),Status
98,0.877551,0.000186,0
98,0.897959,0.000216,0
98,0.918367,0.000121,0
98,0.938776,0.000394,0
98,0.959184,0.000363,0
98,0.979592,0.000247,0
98,1.0,0.000244,0
99,0.530612,0.0,0
99,0.55102,1e-06,0
99,0.571429,1e-06,0
99,0.591837,2e-06,0
99,0.612245,1e-05,0
99,0.632653,1.4e-05,0
99,0.653061,3.1e-05,0
99,0.673469,3.8e-05,0
99,0.693878,1.6e-05,0
99,0.714286,1.5e-05,0
99,0.734694,4.2e-05,0
99,0.795918,4e-05,0
99,0.816327,1e-05,0
99,0.836735,3.7e-05,0
99,0.857143,1e-06,0
100,0.408163,1.1e-05,0
100,0.428571,1.7e-05,0
100,0.44898,1.1e-05,0
100,0.469388,9e-06,0
100,0.489796,7e-06,0
100,0.530612,8e-06,0
100,0.55102,5e-06,0
101,0.367347,0.000893,0
101,0.387755,0.001784,0
101,0.408163,0.002242,0
101,0.428571,0.002051,0
101,0.44898,0.002227,0
101,0.469388,0.001516,0
101,0.489796,0.001417,0
101,0.510204,0.001264,0
101,0.530612,0.000425,0
101,0.55102,0.000554,0
101,0.571429,0.000559,0
101,0.591837,0.00061,0
101,0.612245,0.00099,0
101,0.632653,0.002385,0
101,0.653061,0.004652,0
101,0.673469,0.002125,0
101,0.693878,0.001708,0
101,0.714286,0.002305,0
101,0.734694,0.002988,0
101,0.755102,0.003047,0
101,0.77551,0.001831,0
101,0.795918,0.001863,0
101,0.816327,0.000838,0
101,0.836735,0.001556,0
101,0.857143,0.003658,0
101,0.877551,0.001286,0
101,0.897959,0.00092,0
101,0.918367,0.001219,0
101,0.938776,0.001222,0
101,0.959184,0.000806,0
101,0.979592,0.000416,0
101,1.0,0.002207,0
102,0.102041,0.00089,0
102,0.122449,0.000218,0
102,0.142857,0.00019,0
102,0.163265,0.000817,0
102,0.183673,0.000217,0
102,0.204082,0.000175,0
102,0.22449,0.000995,0
102,0.244898,0.002732,0
102,0.265306,0.001426,0
102,0.285714,0.003513,0
102,0.306122,0.001763,0
102,0.326531,0.002002,0
102,0.346939,0.003603,0
